Y,X,NAME,PERIMETER,AREA,ACRES,HECTARES,SQ_MILES,LINKTODOC,xcoord,ycoord
39.7982464068083,-122.022492200777,Butte County,1368844.16203,46734465661.90000,1072875.70390,434179.13100,1676.42400,"http://en.wikipedia.org/wiki/Butte_County,_California",6555346.72714,2416745.68198
39.798907737956,-122.022635287087,Butte County,1368844.16203,46734465661.90000,1072875.70390,434179.13100,1676.42400,"http://en.wikipedia.org/wiki/Butte_County,_California",6555306.58223,2416986.59545
39.7998492006825,-122.023197845463,Butte County,1368844.16203,46734465661.90000,1072875.70390,434179.13100,1676.42400,"http://en.wikipedia.org/wiki/Butte_County,_California",6555148.60159,2417329.58261
39.8005327570805,-122.023925940392,Butte County,1368844.16203,46734465661.90000,1072875.70390,434179.13100,1676.42400,"http://en.wikipedia.org/wiki/Butte_County,_California",6554944.08910,2417578.63530
39.8010447714528,-122.024653016006,Butte County,1368844.16203,46734465661.90000,1072875.70390,434179.13100,1676.42400,"http://en.wikipedia.org/wiki/Butte_County,_California",6554739.85004,2417765.20185
39.8014696107708,-122.025769419948,Butte County,1368844.16203,46734465661.90000,1072875.70390,434179.13100,1676.42400,"http://en.wikipedia.org/wiki/Butte_County,_California",6554426.21526,2417920.04550
39.8017233047942,-122.02677341326,Butte County,1368844.16203,46734465661.90000,1072875.70390,434179.13100,1676.42400,"http://en.wikipedia.org/wiki/Butte_County,_California",6554144.14981,2418012.54043
39.8018044448154,-122.028054828166,Butte County,1368844.16203,46734465661.90000,1072875.70390,434179.13100,1676.42400,"http://en.wikipedia.org/wiki/Butte_County,_California",6553784.12023,2418042.20600
39.8016697339268,-122.029724774534,Butte County,1368844.16203,46734465661.90000,1072875.70390,434179.13100,1676.42400,"http://en.wikipedia.org/wiki/Butte_County,_California",6553314.90047,2417993.28388
39.8014510590721,-122.030892972923,Butte County,1368844.16203,46734465661.90000,1072875.70390,434179.13100,1676.42400,"http://en.wikipedia.org/wiki/Butte_County,_California",6552986.64485,2417913.73644
39.8008449871145,-122.032448625425,Butte County,1368844.16203,46734465661.90000,1072875.70390,434179.13100,1676.42400,"http://en.wikipedia.org/wiki/Butte_County,_California",6552549.47319,2417693.11435
39.8005417400209,-122.033282132388,Butte County,1368844.16203,46734465661.90000,1072875.70390,434179.13100,1676.42400,"http://en.wikipedia.org/wiki/Butte_County,_California",6552315.23964,2417582.73496
39.7998088257198,-122.034335742829,Butte County,1368844.16203,46734465661.90000,1072875.70390,434179.13100,1676.42400,"http://en.wikipedia.org/wiki/Butte_County,_California",6552019.10123,2417315.86581
39.7990350656669,-122.034832176789,Butte County,1368844.16203,46734465661.90000,1072875.70390,434179.13100,1676.42400,"http://en.wikipedia.org/wiki/Butte_County,_California",6551879.50651,2417034.06077
39.7983489170673,-122.034827936992,Butte County,1368844.16203,46734465661.90000,1072875.70390,434179.13100,1676.42400,"http://en.wikipedia.org/wiki/Butte_County,_California",6551880.60203,2416784.11656
39.7974489594427,-122.034655306449,Butte County,1368844.16203,46734465661.90000,1072875.70390,434179.13100,1676.42400,"http://en.wikipedia.org/wiki/Butte_County,_California",6551928.98329,2416456.27001
39.7968489893932,-122.034540223585,Butte County,1368844.16203,46734465661.90000,1072875.70390,434179.13100,1676.42400,"http://en.wikipedia.org/wiki/Butte_County,_California",6551961.23699,2416237.70638
39.7962053135004,-122.034647623892,Butte County,1368844.16203,46734465661.90000,1072875.70390,434179.13100,1676.42400,"http://en.wikipedia.org/wiki/Butte_County,_California",6551930.96927,2416003.24587
39.79508724739,-122.035476019252,Butte County,1368844.16203,46734465661.90000,1072875.70390,434179.13100,1676.42400,"http://en.wikipedia.org/wiki/Butte_County,_California",6551698.03801,2415596.05755
39.794704892353,-122.036066049888,Butte County,1368844.16203,46734465661.90000,1072875.70390,434179.13100,1676.42400,"http://en.wikipedia.org/wiki/Butte_County,_California",6551532.18634,2415456.84231
39.7945568406733,-122.036942658223,Butte County,1368844.16203,46734465661.90000,1072875.70390,434179.13100,1676.42400,"http://en.wikipedia.org/wiki/Butte_County,_California",6551285.83943,2415403.01047
39.7946817844356,-122.037945796235,Butte County,1368844.16203,46734465661.90000,1072875.70390,434179.13100,1676.42400,"http://en.wikipedia.org/wiki/Butte_County,_California",6551003.97829,2415448.63988
39.7953198823474,-122.039341949288,Butte County,1368844.16203,46734465661.90000,1072875.70390,434179.13100,1676.42400,"http://en.wikipedia.org/wiki/Butte_County,_California",6550611.76289,2415681.24667
39.7958734412453,-122.040403472324,Butte County,1368844.16203,46734465661.90000,1072875.70390,434179.13100,1676.42400,"http://en.wikipedia.org/wiki/Butte_County,_California",6550313.56955,2415883.02253
39.7969409797322,-122.041635305006,Butte County,1368844.16203,46734465661.90000,1072875.70390,434179.13100,1676.42400,"http://en.wikipedia.org/wiki/Butte_County,_California",6549967.61124,2416272.05128
39.7984360955828,-122.043204008461,Butte County,1368844.16203,46734465661.90000,1072875.70390,434179.13100,1676.42400,"http://en.wikipedia.org/wiki/Butte_County,_California",6549527.08205,2416816.88354
39.8006160817306,-122.045111260136,Butte County,1368844.16203,46734465661.90000,1072875.70390,434179.13100,1676.42400,"http://en.wikipedia.org/wiki/Butte_County,_California",6548991.57131,2417611.24902
39.8028399752703,-122.046740443416,Butte County,1368844.16203,46734465661.90000,1072875.70390,434179.13100,1676.42400,"http://en.wikipedia.org/wiki/Butte_County,_California",6548534.22970,2418421.58029
39.8039844621129,-122.047481925706,Butte County,1368844.16203,46734465661.90000,1072875.70390,434179.13100,1676.42400,"http://en.wikipedia.org/wiki/Butte_County,_California",6548326.11684,2418838.59194
39.8046251952074,-122.048154339465,Butte County,1368844.16203,46734465661.90000,1072875.70390,434179.13100,1676.42400,"http://en.wikipedia.org/wiki/Butte_County,_California",6548137.31877,2419072.09207
39.8047319019376,-122.048865433835,Butte County,1368844.16203,46734465661.90000,1072875.70390,434179.13100,1676.42400,"http://en.wikipedia.org/wiki/Butte_County,_California",6547937.55202,2419111.06893
39.8047506780458,-122.048990564317,Butte County,1368844.16203,46734465661.90000,1072875.70390,434179.13100,1676.42400,"http://en.wikipedia.org/wiki/Butte_County,_California",6547902.39935,2419117.92746
39.8047482408277,-122.049631577006,Butte County,1368844.16203,46734465661.90000,1072875.70390,434179.13100,1676.42400,"http://en.wikipedia.org/wiki/Butte_County,_California",6547722.30155,2419117.13737
39.8047470781542,-122.049937355309,Butte County,1368844.16203,46734465661.90000,1072875.70390,434179.13100,1676.42400,"http://en.wikipedia.org/wiki/Butte_County,_California",6547636.39061,2419116.76091
39.8049988624884,-122.051387039896,Butte County,1368844.16203,46734465661.90000,1072875.70390,434179.13100,1676.42400,"http://en.wikipedia.org/wiki/Butte_County,_California",6547229.14272,2419208.70581
39.8059357131859,-122.053119627837,Butte County,1368844.16203,46734465661.90000,1072875.70390,434179.13100,1676.42400,"http://en.wikipedia.org/wiki/Butte_County,_California",6546742.56037,2419550.25374
39.8067014286693,-122.0547397645,Butte County,1368844.16203,46734465661.90000,1072875.70390,434179.13100,1676.42400,"http://en.wikipedia.org/wiki/Butte_County,_California",6546287.54656,2419829.45230
39.8082366728641,-122.056977607742,Butte County,1368844.16203,46734465661.90000,1072875.70390,434179.13100,1676.42400,"http://en.wikipedia.org/wiki/Butte_County,_California",6545659.17589,2420389.08492
39.8102959086776,-122.059783726416,Butte County,1368844.16203,46734465661.90000,1072875.70390,434179.13100,1676.42400,"http://en.wikipedia.org/wiki/Butte_County,_California",6544871.30855,2421139.71343
39.810847545592,-122.061291233852,Butte County,1368844.16203,46734465661.90000,1072875.70390,434179.13100,1676.42400,"http://en.wikipedia.org/wiki/Butte_County,_California",6544447.93211,2421340.94157
39.8120424276714,-122.06280300134,Butte County,1368844.16203,46734465661.90000,1072875.70390,434179.13100,1676.42400,"http://en.wikipedia.org/wiki/Butte_County,_California",6544023.52749,2421776.49405
39.8123713639367,-122.062940302166,Butte County,1368844.16203,46734465661.90000,1072875.70390,434179.13100,1676.42400,"http://en.wikipedia.org/wiki/Butte_County,_California",6543985.03880,2421896.34316
39.8128559221255,-122.063142567117,Butte County,1368844.16203,46734465661.90000,1072875.70390,434179.13100,1676.42400,"http://en.wikipedia.org/wiki/Butte_County,_California",6543928.33977,2422072.89381
39.8137127340263,-122.063371021691,Butte County,1368844.16203,46734465661.90000,1072875.70390,434179.13100,1676.42400,"http://en.wikipedia.org/wiki/Butte_County,_California",6543864.37882,2422385.05161
39.8146148339925,-122.062987047096,Butte County,1368844.16203,46734465661.90000,1072875.70390,434179.13100,1676.42400,"http://en.wikipedia.org/wiki/Butte_County,_California",6543972.47331,2422713.58705
39.8150893959978,-122.062266027111,Butte County,1368844.16203,46734465661.90000,1072875.70390,434179.13100,1676.42400,"http://en.wikipedia.org/wiki/Butte_County,_California",6544175.13919,2422886.31753
39.8159865944548,-122.061385213551,Butte County,1368844.16203,46734465661.90000,1072875.70390,434179.13100,1676.42400,"http://en.wikipedia.org/wiki/Butte_County,_California",6544422.79460,2423212.97433
39.8159905351359,-122.061378019854,Butte County,1368844.16203,46734465661.90000,1072875.70390,434179.13100,1676.42400,"http://en.wikipedia.org/wiki/Butte_County,_California",6544424.81637,2423214.40845
39.816626247981,-122.060218023383,Butte County,1368844.16203,46734465661.90000,1072875.70390,434179.13100,1676.42400,"http://en.wikipedia.org/wiki/Butte_County,_California",6544750.82722,2423445.76352
39.8172298776848,-122.0593863979,Butte County,1368844.16203,46734465661.90000,1072875.70390,434179.13100,1676.42400,"http://en.wikipedia.org/wiki/Butte_County,_California",6544984.58272,2423665.49589
39.8176175319046,-122.059131365664,Butte County,1368844.16203,46734465661.90000,1072875.70390,434179.13100,1676.42400,"http://en.wikipedia.org/wiki/Butte_County,_California",6545056.31505,2423806.66123
39.8185091877271,-122.058249943405,Butte County,1368844.16203,46734465661.90000,1072875.70390,434179.13100,1676.42400,"http://en.wikipedia.org/wiki/Butte_County,_California",6545304.11995,2424131.30776
39.8189643901382,-122.057825415994,Butte County,1368844.16203,46734465661.90000,1072875.70390,434179.13100,1676.42400,"http://en.wikipedia.org/wiki/Butte_County,_California",6545423.47620,2424297.04975
39.8191121101734,-122.057211072687,Butte County,1368844.16203,46734465661.90000,1072875.70390,434179.13100,1676.42400,"http://en.wikipedia.org/wiki/Butte_County,_California",6545596.07942,2424350.75101
39.8199389210424,-122.056907667729,Butte County,1368844.16203,46734465661.90000,1072875.70390,434179.13100,1676.42400,"http://en.wikipedia.org/wiki/Butte_County,_California",6545681.49445,2424651.88283
39.8211470628043,-122.054683547004,Butte County,1368844.16203,46734465661.90000,1072875.70390,434179.13100,1676.42400,"http://en.wikipedia.org/wiki/Butte_County,_California",6546306.50721,2425091.59352
39.8210752386669,-122.054410911066,Butte County,1368844.16203,46734465661.90000,1072875.70390,434179.13100,1676.42400,"http://en.wikipedia.org/wiki/Butte_County,_California",6546383.07273,2425065.38390
39.8221153556446,-122.05369799163,Butte County,1368844.16203,46734465661.90000,1072875.70390,434179.13100,1676.42400,"http://en.wikipedia.org/wiki/Butte_County,_California",6546583.55000,2425444.15221
39.8230268901381,-122.053368118502,Butte County,1368844.16203,46734465661.90000,1072875.70390,434179.13100,1676.42400,"http://en.wikipedia.org/wiki/Butte_County,_California",6546676.40236,2425776.14594
39.8234129802013,-122.053311792949,Butte County,1368844.16203,46734465661.90000,1072875.70390,434179.13100,1676.42400,"http://en.wikipedia.org/wiki/Butte_County,_California",6546692.30583,2425916.77926
39.8241328053833,-122.053391471245,Butte County,1368844.16203,46734465661.90000,1072875.70390,434179.13100,1676.42400,"http://en.wikipedia.org/wiki/Butte_County,_California",6546670.07963,2426179.00611
39.8242438733403,-122.053230461265,Butte County,1368844.16203,46734465661.90000,1072875.70390,434179.13100,1676.42400,"http://en.wikipedia.org/wiki/Butte_County,_California",6546715.32777,2426219.43878
